Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.057664	0	0	0	LastDelay	0.057664	57664	1	2
0.057664	0	0	0	FullDelay	0.057664	57664	1	2
0.157664	0	0	1	LastDelay	0.057664	57664	1	2
0.157664	0	0	1	FullDelay	0.057664	57664	1	2
0.257664	0	0	2	LastDelay	0.057664	57664	1	2
0.257664	0	0	2	FullDelay	0.057664	57664	1	2
0.357664	0	0	3	LastDelay	0.057664	57664	1	2
0.357664	0	0	3	FullDelay	0.057664	57664	1	2
0.457664	0	0	4	LastDelay	0.057664	57664	1	2
0.457664	0	0	4	FullDelay	0.057664	57664	1	2
0.557664	0	0	5	LastDelay	0.057664	57664	1	2
0.557664	0	0	5	FullDelay	0.057664	57664	1	2
0.657664	0	0	6	LastDelay	0.057664	57664	1	2
0.657664	0	0	6	FullDelay	0.057664	57664	1	2
0.757664	0	0	7	LastDelay	0.057664	57664	1	2
0.757664	0	0	7	FullDelay	0.057664	57664	1	2
0.857664	0	0	8	LastDelay	0.057664	57664	1	2
0.857664	0	0	8	FullDelay	0.057664	57664	1	2
0.957664	0	0	9	LastDelay	0.057664	57664	1	2
0.957664	0	0	9	FullDelay	0.057664	57664	1	2
1.05766	0	0	10	LastDelay	0.057664	57664	1	2
1.05766	0	0	10	FullDelay	0.057664	57664	1	2
1.15766	0	0	11	LastDelay	0.057664	57664	1	2
1.15766	0	0	11	FullDelay	0.057664	57664	1	2
1.25766	0	0	12	LastDelay	0.057664	57664	1	2
1.25766	0	0	12	FullDelay	0.057664	57664	1	2
1.35766	0	0	13	LastDelay	0.057664	57664	1	2
1.35766	0	0	13	FullDelay	0.057664	57664	1	2
1.45766	0	0	14	LastDelay	0.057664	57664	1	2
1.45766	0	0	14	FullDelay	0.057664	57664	1	2
1.55766	0	0	15	LastDelay	0.057664	57664	1	2
1.55766	0	0	15	FullDelay	0.057664	57664	1	2
1.65766	0	0	16	LastDelay	0.057664	57664	1	2
1.65766	0	0	16	FullDelay	0.057664	57664	1	2
1.75766	0	0	17	LastDelay	0.057664	57664	1	2
